                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8704,                 3.8759,                 1.4956,                0.00243,                0.43966,                0.10807,                0.05237,                 1.8761,                 4.0874,                 1.4553,               0.095005,                  5e-06,                  5e-06
                      2,                 1.6944,                  3.332,                 1.3476,                0.00241,                0.36207,                0.08046,                0.04749,                 2.0652,                 4.3751,                 1.5598,               0.089011,             1.0782e-05,             1.0782e-05
                      3,                 1.7527,                 2.9649,                 1.2933,                0.00212,                0.36207,                0.08119,                0.03246,                 2.2354,                 4.1281,                 1.6196,               0.083016,             1.6327e-05,             1.6327e-05
                      4,                 1.6916,                 2.6982,                 1.2832,                0.00239,                 0.4569,                0.09771,                0.04411,                 2.2545,                 3.8062,                 1.6456,               0.077022,             2.1634e-05,             2.1634e-05
                      5,                 1.6438,                 2.5469,                 1.2855,                0.00239,                 0.4569,                0.10009,                 0.0518,                 2.1681,                 3.7649,                 1.6456,               0.071027,             2.6703e-05,             2.6703e-05
                      6,                 1.6445,                 2.2605,                 1.3191,                0.00336,                0.46552,                 0.1341,                0.07455,                 2.0133,                 3.8733,                 1.6041,               0.065032,             3.1535e-05,             3.1535e-05
                      7,                 1.5683,                 2.0075,                 1.2378,                0.03711,                0.31034,                0.18408,                0.11173,                  1.886,                 3.9803,                 1.5492,               0.059036,             3.6129e-05,             3.6129e-05
                      8,                 1.5984,                 1.8982,                 1.2649,                0.17424,                0.19828,                0.19205,                0.12639,                 1.8369,                 4.0934,                 1.5073,                0.05304,             4.0486e-05,             4.0486e-05
                      9,                 1.6486,                 1.8207,                 1.2201,                0.19101,                 0.2931,                0.24124,                0.16231,                 1.6867,                  4.042,                   1.42,               0.047045,             4.4605e-05,             4.4605e-05
                     10,                 1.5624,                 1.7022,                 1.2203,                0.12129,                0.42241,                0.27765,                0.18847,                 1.5702,                 3.8295,                 1.3436,               0.041048,             4.8486e-05,             4.8486e-05
                     11,                 1.4625,                 1.6848,                 1.2461,                0.58889,                0.49889,                0.56699,                0.31154,                 1.5295,                 3.6301,                 1.3233,               0.035052,              5.213e-05,              5.213e-05
                     12,                 1.5223,                 1.6386,                 1.1788,                0.51023,                0.53921,                0.56684,                0.36999,                 1.4475,                 3.4825,                 1.2947,               0.029056,             5.5536e-05,             5.5536e-05
                     13,                 1.4538,                 1.5444,                 1.1864,                0.38025,                0.60373,                0.55682,                0.36638,                 1.4008,                 3.2735,                  1.247,               0.023059,             5.8705e-05,             5.8705e-05
                     14,                 1.4317,                 1.4847,                 1.1955,                 0.2542,                0.70912,                0.57061,                0.37071,                 1.3883,                 3.0732,                 1.2423,               0.017062,             6.1636e-05,             6.1636e-05
                     15,                 1.4512,                 1.5237,                 1.1532,                0.19958,                0.84622,                0.60829,                0.39009,                  1.363,                 2.8984,                 1.2263,               0.011064,             6.4329e-05,             6.4329e-05
                     16,                  1.435,                 1.5523,                 1.1773,                0.72147,                0.50028,                0.63475,                0.40074,                 1.3263,                 2.6614,                 1.2091,              0.0050668,             6.6785e-05,             6.6785e-05
                     17,                 1.5541,                 1.5149,                 1.1673,                0.90112,                0.27669,                0.64713,                0.39537,                 1.3354,                 2.4424,                 1.2108,              6.832e-05,              6.832e-05,              6.832e-05
                     18,                  1.428,                 1.4856,                 1.1663,                0.87548,                0.35083,                 0.6551,                0.39669,                 1.3648,                 2.2012,                 1.2156,              6.832e-05,              6.832e-05,              6.832e-05
                     19,                 1.3499,                 1.3708,                 1.1009,                0.79962,                 0.4866,                 0.6702,                 0.4139,                 1.3379,                 1.9086,                 1.2013,              6.634e-05,              6.634e-05,              6.634e-05
                     20,                 1.3897,                 1.4177,                 1.1269,                0.69564,                0.54171,                0.72229,                0.43551,                  1.306,                 1.6496,                 1.1816,              6.436e-05,              6.436e-05,              6.436e-05
                     21,                 1.3412,                 1.4268,                 1.1129,                0.63913,                0.68994,                0.72784,                 0.4419,                 1.3523,                 1.5113,                 1.1967,              6.238e-05,              6.238e-05,              6.238e-05
                     22,                 1.3968,                 1.4664,                 1.1287,                0.64835,                 0.6891,                0.72431,                0.42224,                 1.3704,                 1.4259,                 1.1925,               6.04e-05,               6.04e-05,               6.04e-05
                     23,                 1.3466,                 1.3428,                  1.124,                0.62811,                0.67241,                0.72952,                0.43449,                 1.3398,                  1.377,                 1.1789,              5.842e-05,              5.842e-05,              5.842e-05
                     24,                 1.3519,                 1.3156,                  1.099,                0.65669,                 0.6472,                0.73566,                0.44258,                 1.3467,                 1.3734,                 1.1857,              5.644e-05,              5.644e-05,              5.644e-05
                     25,                 1.2879,                 1.3425,                 1.1103,                0.71131,                0.63837,                0.73491,                0.43608,                  1.366,                 1.3357,                 1.1811,              5.446e-05,              5.446e-05,              5.446e-05
                     26,                 1.3159,                 1.2896,                 1.0493,                0.62063,                0.68929,                 0.7307,                0.42366,                 1.3865,                 1.2704,                 1.1777,              5.248e-05,              5.248e-05,              5.248e-05
                     27,                 1.3365,                 1.3169,                 1.1342,                0.67482,                0.71509,                 0.7425,                0.42771,                 1.3859,                 1.2332,                 1.1736,               5.05e-05,               5.05e-05,               5.05e-05
                     28,                   1.25,                  1.206,                 1.0609,                0.67844,                0.68636,                0.76806,                0.44337,                 1.3704,                  1.206,                 1.1691,              4.852e-05,              4.852e-05,              4.852e-05
                     29,                  1.262,                 1.2557,                 1.0631,                 0.7082,                0.68025,                0.78336,                0.46578,                 1.3497,                 1.1777,                 1.1611,              4.654e-05,              4.654e-05,              4.654e-05
                     30,                 1.2803,                 1.2494,                 1.0746,                0.75849,                0.62894,                0.78696,                0.46669,                   1.35,                 1.1731,                  1.164,              4.456e-05,              4.456e-05,              4.456e-05
                     31,                 1.2348,                 1.2095,                 1.1007,                0.75174,                0.66087,                0.79117,                 0.4669,                 1.3689,                 1.1734,                 1.1688,              4.258e-05,              4.258e-05,              4.258e-05
                     32,                 1.2908,                 1.2004,                 1.0742,                0.76064,                 0.6505,                0.78334,                0.44402,                 1.4063,                 1.1862,                 1.1803,               4.06e-05,               4.06e-05,               4.06e-05
                     33,                 1.2698,                 1.2635,                  1.104,                 0.6743,                0.73279,                0.77707,                0.43601,                 1.4405,                 1.1963,                 1.1865,              3.862e-05,              3.862e-05,              3.862e-05
                     34,                 1.2868,                  1.215,                 1.0772,                 0.7694,                0.62875,                0.77834,                0.44126,                 1.4202,                 1.1983,                 1.1801,              3.664e-05,              3.664e-05,              3.664e-05
                     35,                 1.2899,                  1.186,                 1.0737,                 0.7752,                0.61958,                0.77561,                0.44329,                 1.4039,                 1.2097,                 1.1741,              3.466e-05,              3.466e-05,              3.466e-05
                     36,                 1.2532,                 1.1717,                 1.0605,                 0.7891,                0.63571,                0.77604,                0.45931,                 1.3608,                 1.1908,                 1.1575,              3.268e-05,              3.268e-05,              3.268e-05
                     37,                  1.315,                 1.2826,                  1.132,                0.79068,                0.61902,                0.77595,                0.46478,                 1.3441,                 1.1816,                 1.1505,               3.07e-05,               3.07e-05,               3.07e-05
                     38,                 1.3227,                 1.2638,                   1.08,                0.70259,                0.66908,                0.77697,                0.46411,                  1.353,                 1.1699,                 1.1518,              2.872e-05,              2.872e-05,              2.872e-05
                     39,                 1.2937,                 1.2077,                  1.102,                 0.7066,                 0.6777,                0.77918,                0.45025,                 1.3864,                 1.1851,                 1.1616,              2.674e-05,              2.674e-05,              2.674e-05
                     40,                 1.2644,                 1.1722,                 1.0966,                0.78643,                0.60345,                0.77099,                0.43888,                 1.4233,                 1.2099,                  1.175,              2.476e-05,              2.476e-05,              2.476e-05
                     41,                 1.2577,                 1.3161,                 1.1051,                0.70007,                0.68632,                0.77565,                0.43809,                 1.4262,                 1.2157,                 1.1739,              2.278e-05,              2.278e-05,              2.278e-05
